AASP101 |<i> Formerly AASP300. </i> The impact of public policies on the black community and the role of the policy process in affecting the social, economic and political well-being of minorities. Particular attention given to the post-1960 to present era.| |Public Policy and the Black Community| REG/P-F/AUD 3  |CORE Behavioral and Social Science (SB) Course.|
AASP200 |A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization.| |African Civilization| REG/P-F/AUD 3  |CORE Humanities (HO) Course.|
BMGT495F |<i> Prerequisites: BMGT340; and BMGT350; and BMGT364. For BMGT majors only. </i>| |Business Policies| REG 3  |CORE Capstone (CS) Course.|
BMGT495H |<i> Prerequisites: BMGT340; and BMGT350; and BMGT364. For BMGT majors only. </i> Restricted to graduating BMGT Honors students with 100 credit hours completed.| |Business Policies| REG 3 (PermReq) |CORE Capstone (CS) Course.|
BMGT821 |<i> Prerequisite: BMGT 711 or equivalent. </i> Design and use of accounting information systems for managerial planning and controllership.| |Seminar in Management Accounting| REG/AUD 3  
BMGT828  |Independent Study in Business and Management| REG 1-9  |Individual Instruction course: contact department or instructor to obtain section number.|
BMGT831 |<i> Prerequisite: BMGT 830 or equivalent; or permission of department. </i> Concepts and applications of network and graph theory in linear and combinatorial models with emphasis on computational algorithms.| |Operations Research:  Extension of Linear Programming and Network Analysis| REG/AUD 3  
BMGT843 |<i> Prerequisite: permission of department. </i> Seminar in selected classic and current theoretical and empirical research in portfolio theory.| |Seminar in Portfolio Theory| REG/AUD 3  
BMGT866 |Review of theories and research in organizational development, group processes, group conflict and resolutions.| |Seminar in Group Processes, Organizational Conflict and Change| REG/AUD 3  
BMGT881 |An introduction to regression models used in business research. Linear models, nonparametric methods, spatio-temporal models, methods for functional data, choice models, and methods for hierarchical, clustered and networked data. Hands-on learning via discussion of scholarly business papers, implementation using advanced statistical software, and application to research questions. Restricted to BMGT PhD students.| |Applied Regression Models| REG/AUD 3  
BMGT898  |Pre-Candidacy Research| REG 1-8  |Individual Instruction course: contact department or instructor to obtain section number.|
BMGT899  |Doctoral Dissertation Research| REG 6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
BSCI103M |<i> Formerly: BIOL101 and BIOL102. </i> (Sponsoring Dept.: BSCI). Must be taken within 12 months of the semester in which BSCI 103 is taken. A student is eligible to take this course only if the lab scores received in BSCI 103 the last time it was taken totalled at least 80 percent of the maximum possible total. These scores will count for part of the grade in BSCI 103M.| |The World of Biology| REG 4 (PermReq) |CORE Life Science Lab (LL) Course.|
BSCI105 |<i> Prerequisite: Math eligibility of in MATH111 or higher. For science majors. Formerly BIOL105. </i> Basic principles of biology with special emphasis on cellular and molecular biology. (Sponsoring Dept.: BSCI) Students must pay a $40.00 lab materials fee.| |Principles of Biology I| REG/P-F/AUD 4  |CORE Life Science Lab (LL) Course.|
BSCI105M |<i> Prerequisite: Math eligibility of in MATH111 or higher. For science majors. Formerly BIOL105. </i> (Sponsoring Dept.: BSCI). Must be taken within twelve months of the semester in which BSCI 105 is taken. A student is eligible to take this course only if the lab scores received in BSCI 105 the last time it was taken, totalled at least 80 percent of the maximum possible total. These scores will count for part of the grade in BSCI 105M.| |Principles of Biology I| REG/P-F/AUD 4 (PermReq) |CORE Life Science Lab (LL) Course.|
BSCI105S |<i> Prerequisite: Math eligibility of in MATH111 or higher. For science majors. Formerly BIOL105. </i> (Sponsoring Dept.: BSCI) Students must pay a $40.00 lab materials fee.| |Principles of Biology I| REG/P-F/AUD 4  |CORE Life Science Lab (LL) Course.|
BSCI106 |<i> Prerequisite: Math eligibility or MATH111 or higher. For science majors. Formerly BIOL106. </i> Basic principles of biology with special emphasis on organismal, ecological and evolutionary biology. (Sponsoring Dept.: BSCI). Students must pay a $40.00 lab materials fee.| |Principles of Biology II| REG/P-F/AUD 4  |CORE Life Science Lab (LL) Course.|
BSCI106M |<i> Prerequisite: Math eligibility or MATH111 or higher. For science majors. Formerly BIOL106. </i> (Sponsoring Dept.: BSCI). Must be taken within twelve months of the semester in which BSCI 106 is taken. A student is eligible to take this course only if the lab scores received in BSCI 106 the last time it was taken, totalled at least 80 percent of the maximum possible total. These scores will count for part of the grade in BSCI 106M.| |Principles of Biology II| REG/P-F/AUD 4 (PermReq) |CORE Life Science Lab (LL) Course.|
BSCI120 |<i> Formerly ENTM100. </i> A survey of the major groups of insects, their natural history, and their relationships with humans and their environment. Course not acceptable toward major requirements in the College of Chemical and Life Sciences. (Sponsoring Dept.: ENTM)| Insects REG/P-F/AUD 3  |CORE Life Science (LS) Course.|
BSCI124 |<i> CORE Life Sciences Lab (LL) Course only when taken concurrently with BSCI 125. For non-science majors only. Not open to students who have completed BSCI105/BIOL105. Formerly PBIO100. </i> A basic course in plant biology specifically designed for the non-science student. Emphasis is placed on an evolutionary and ecological approach to studying fundamental concepts and processes of plants, their place in the biosphere, the importance of plants to man, and the manner in which humans impact on plants and their environment. This course will not count toward graduation requirements for any student in the College of Chemistry and Life Sciences or the College of Agriculture and Natural Resources. (Sponsoring Dept.: CBMG). CORE Life Sciences Lab (LL) Course only when taken concurrently with BSCI125.| |Plant Biology for Non-Science Students| REG/P-F/AUD 3  
BSCI125 |<i> CORE Life Sciences Lab (LL) Course only when taken concurrently with BSCI 124. Corequisite: 124. For non-science majors only. Not open to students who have completed BSCI105. Credit will be granted for only one of the following: BSCI105 or BSCI125. Formerly PBIO101. </i> An introduction to the biology of plants with emphasis on the processes by which plants function, the diversity of plants, and the importance of plants to humans. This course will not count toward graduation requirements for any student in the College of Chemistry and Life Sciences or the College of Agriculture and Natural Resources. CORE Lab Science. (Sponsoring Dept.: CBMG). CORE Life Sciences Lab (LL) Course only when taken concurrently with BSCI 124. Students must pay a $40.00 laboratory materials fee.| |Plant Biology Laboratory| REG/P-F/AUD 1  
BSCI201 |<i> Prerequisite: BSCI105 or equivalent. Formerly ZOOL201. </i> Anatomy and physiology of the skeletal, muscular, neural, endocrine, and sensory systems. Course not acceptable toward major requirements in the College of Chemistry and Life Sciences. (Sponsoring Dept.: BIOL).| |Human Anatomy and Physiology I| REG/P-F/AUD 4  |CORE Life Science Lab (LL) Course.|
BSCI202 |<i> Prerequisite: BSCI201 or permission of department. Formerly ZOOL202. </i> Anatomy and physiology of the cardiovascular, respiratory, immune, digestive, urinary and reproductive systems. Course not acceptable toward major requirements in the College of Chemistry and Life Sciences. (Sponsoring Dept.: BIOL). Students must pay a $40.00 lab materials fee.| |Human Anatomy and Physiology II| REG/P-F/AUD 4  
BSCI207 |<i> Prerequisite: BSCI105 and BSCI106. Pre- or corequisite: CHEM103 or CHEM131; or equivalent. Credit will be granted for only one of the following: BSCI207 or BSCI279D. </i> The diversity, structure and function of organisms as understood from the perspective of their common physicochemical principles and unique evolutionary histories. (Sponsoring Dept.: BSCI).| |Principles of Biology III - Organismal Biology| REG/P-F/AUD 3  
BSCI222 |<i> Prerequisite: {BSCI105 and BSCI106 and (CHEM131 and CHEM132)} or {BSCI105 and two semesters of chemistry}. Credit will be granted for only one of the following: BIOL222 or BSCI222. Formerly BIOL222. </i> Principles and mechanisms of heredity and gene expression. Considers plant, animal, and microbial organisms. (Sponsoring Dept.: BSCI).| |Principles of Genetics| REG/P-F/AUD 4  
BSCI223 |<i> Prerequisite: BSCI105. Credit will be granted for only one of the following: BSCI122 or BSCI223. Formerly MICB200. </i> Fundamental concepts in morphology, physiology, genetics, immunology, ecology, and pathogenic microbiology. Applications of microbiology to medicine, the food industry and biotechnology. (Sponsoring Dept.: CBMG) Students must pay a $40.00 lab materials fee.| |General Microbiology| REG/P-F/AUD 4  |CORE Life Science Lab (LL) Course.|
BSCI223H |<i> Prerequisite: BSCI105. Credit will be granted for only one of the following: BSCI122 or BSCI223. Formerly MICB200. </i>| |General Microbiology| REG/P-F/AUD 4  |CORE Life Science Lab (LL) Course.|
BSCI258 |(Sponsoring Dept.: BSCI).| |College Park Scholars Internship| REG/P-F/AUD 2  
BSCI283 |<i> Prerequisite: BSCI207 and BSCI222. Credit will be granted for only one of the following: BSCI223 or BSCI283. </i> An introduction to micro-organisms for majors in Life Sciences. Genetic principles underlying microbial abilities; microbial structure-function relationships; metabolism, physiology, and ecology of micro-organisms; interactions between micro-organisms (including pathogens) and their hosts. (Sponsoring Dept.: CBMG). Students must pay a $40.00 lab materials fee.| |Principles of Microbiology| REG/P-F/AUD 4  
BSCI289 |(Sponsoring Dept.: BSCI). Provides credit for off-campus research internships. This credit counts as elective toward graduation, but does not satisfy any Biological Sciences degree requirements (For information about research credit that does count toward Biological Sciences contact the Biological Sciences Program, room 1322 Symons Hall). This requires that a contract form be filed with the Director of Undergraduate Research and Internship Programs, Room 1313 Symons Hall, prior to the internship. The contract must be finalized and signed by the research supervisor at the end of the semester before credit will be awarded.| |Off-Campus Internship| S-F 1-3 (PermReq) 
BSCI329 |(Sponsoring Dept.: BIOL). Prerequisite: permission of department. Creditcannot be applied to the requirements of any Biological Sciences Major.| |Instructional Assistance Practicum| REG/P-F/AUD 1-2 (PermReq) 
BSCI330 |<i> Prerequisite: grade of C (2.0) or better in {BSCI105 and (CHEM131 and CHEM132)}. Not open to students who have completed BSCI230. Credit will be granted for only one of the following: BSCI230 or BSCI330. Formerly BSCI230. </i> Biochemical and physiological mechanisms underlying cellular function. Properties of cells which make life possible and mechanisms by which cells provide energy, reproduce, and regulate and integrate with each other and their environment. (Sponsoring Dept: BIOL). Specialization Areas: PHNB, CEBG, MICB, ECEV, and GENB. Students must pay a $40.00 lab materials fee.| |Cell Biology and Physiology| REG/P-F/AUD 4  
BSCI334 |<i> Prerequisite: A grade of C (2.0) or better in {BSCI106 and BSCI207}. Credit will be granted for only one of the following: BSCI334 or BSCI338M. Formerly BSCI338M. </i> Introduction to the biology of mammals, including evolution, physiological, and behavioral specializations. (Sponsoring Dept.: BIOL). Acceptable toward Biological Sciences Specialization Areas: GENB and ECEV.| Mammalogy REG/P-F/AUD 3  
BSCI335 |<i> Prerequisite: A grade of C (2.0) in {BSCI106 and BSCI334 (formerly BSCI338M)}. Corequisite: BSCI334 (formerly BSCI338M). Credit will be granted for only one of the following: BSCI335 or BSCI338U. Formerly BSCI338U. </i> Lab and field techniques for the study of mammals, focusing on their identification, anatomy, histology, spatial distribution, ecology, and behavior. (Sponsoring Dept.: BIOL). Students must pay a $40.00 lab materials fee.| |Mammalogy Laboratory| REG/P-F/AUD 1  
BSCI337 |<i> Prerequisite: BSCI106 or {PLSC100 and PLSC101}; or permission of department. Credit will be granted for only one of the following: BSCI227 or BSCI337. Formerly BSCI227. </i> An overview of the biology, evolution and diversity of insects and their relatives. Insect morphology, physiology, behavior and ecology; the impact of insects on humanity and the management of pest insect populations; assembly of an insect collection is required. (Sponsoring Dept.: ENTM). Specialization Areas: GENB and ECEV.| |Biology of Insects| REG/AUD 4  
BSCI348 |(Sponsoring Dept.: CBMG). May be repeated but only 3 credits may be applied to major requirements.| |Special Topics in Cell Biology and Molecular Genetics| REG/P-F/AUD 1-4 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
BSCI361 |<i> Prerequisites: BSCI106 and (MATH130 or MATH140). Formerly ZOOL328N. </i> Basic principles of population, community, and ecosystem ecology. Use of these principles to predict possible consequences of human-caused changes in the environment and to understand the level of uncertainty of those predictions. (Sponsoring Dep.: BIOL). Acceptable toward Biological Sciences Specialization Areas: ECEV and GENB.| |Principles of Ecology| REG/P-F 4  
BSCI363 |<i> Prerequisite: BSCI106. Formerly ZOOL312. </i> Ecology, evolutionary biology, and paleontology will be applied to the study of conservation, species invasions, and extinction. (Sponsoring Dept.: BIOL). Prerequisite: BSCI 106. Acceptable toward Biological Sciences Specialization areas: ECEV and GENB.| |The Biology of Conservation and Extinction| REG/P-F/AUD 3  
BSCI370 |<i> Prerequisite: BSCI106. Formerly ZOOL328Q. </i> Understanding evolutionary processes in a natural and human environment, including adaption; DNA sequence, protein, and genome evolution; evolution of developmental mechanisms; mechanisms of evolutionary change (mutation, natural selection, drift); epidemiology; coevolution and biological control; speciation; comparative methods; extinction and conservation; human evolution. (Sponsoring Dept.: BIOL). Acceptable toward Biological Sciences Specialization Areas: PHNB, GENB, and ECEV.| |Principles of Evolution| REG/P-F/AUD 3  
BSCI378H |<i> Repeatable to 6 credits. Formerly MICB388H. </i> Required seminar for all students participating in departmental honors research program. (Sponsoring Dept.: CBMG). Corequisite: BSCI379H. Restricted to students participating in the CBMG Departmental Honors Program. <A HREF= 'http://www.life.umd.edu/CBMG/progrms/department/honors.html'> Click here for detailed program information.</A>| |Cell Biology and Molecular Genetics Department Honors Seminar| REG 1  
BSCI379H |<i> Prerequisite: admission to departmental honors program. Repeatable to 8 credits if content differs. Formerly MICB379. </i> Student should consult program guidelines. Research project carried out under guidance of faculty advisor. (Sponsoring Dept.: CBMG). Corequisite: BSCI378H. Restricted to students participating in the CBMG Departmental Honors Program. <A HREF= 'http://www.life.umd.edu/CBMG/progrms/department/honors.html'> Click here for detailed program information.</A>| |Cell Biology and Molecular Genetics Department Honors Research| REG 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
BSCI389 |(Sponsoring Dept.: ENTM).Formerly ENTM399.| |Entomology Department Research| REG/P-F/AUD 1-2 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
BSCI389H |(Sponsoring Dept.: ENTM).| |Entomology Department Honors Research| REG 1-2 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
BSCI398H |<i> Prerequisite: permission of department. Formerly ZOOL308H. </i> Required seminar for all students participating in departmental honors research program. (Sponsoring Dept.: BIOL). Prerequisite: permission of department. Formerly ZOOL308H.| |Biology Department Honors Seminar| REG/P-F/AUD 1 (PermReq) 
BSCI399H |<i> Prerequisite: participation in the Biology Department Honors Program. Repeatable to 8 credits if content differs. Formerly ZOOL318H. </i> A laboratory research problem; required each semester during honors participation and culminating in an honors thesis. (Sponsoring Dept.: BIOL). Formerly ZOOL318H.| |Biology Department Honors Research| REG 1-2 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
BSCI410 |<i> Prerequisites: BSCI222 ( or equivalent ) and CHEM233 or (CHEM231 and CHEM232). Formerly ZOOL446. </i> An advanced genetics course emphasizing the molecular basis of gene structure and function in the context of modern approaches to the genetics of humans and model organisms. (Sponsoring Dept.: CBMG) Acceptable toward Biological Sciences specialization areas: PHNB, MICB, CEBG, GENB and ECEV.| |Molecular Genetics| REG/P-F/AUD 3  
BSCI412 |<i> Prerequisites: BSCI223 and BSCI222. Formerly MICB485. </i> A laboratory/lecture based course that covers the fundamentals of mutation, mobile genetic elements and transmission genetics of microbial organisms using both classical and molecular approaches. (Sponsoring Dept: CBMG). Acceptable toward Biological Sciences Specialization Areas: MICB, CEBG, and GENB. Students must pay a $40.00 lab materials fee.| |Microbial Genetics| REG/P-F/AUD 4  
BSCI414 |<i> Prerequisite: BSCI222. Formerly MICB453. </i> An advanced course offering hands-on experience in performing recombinant DNA experiments. All current molecular biology techniques used for cloning prokaryotic genes, analyzing the gene products, and modifying the genes will be performed. Techniques include isolation of DNA, use of restriction enzymes; cloning procedures, PCR analysis, and Southern hybridizations. Lecture material focuses on interpretation of results generated in the laboratory. Acceptable toward Biological Sciences Speicalization Areas: PHNB, MICB, CEBG and GENB. Students must pay a $40.00 laboratory materials fee.| |Recombinant DNA Laboratory| REG/P-F/AUD 3  
BSCI416 |<i> Prerequisite: A grade of C (2.0) or better in BSCI222. Recommended: BSCI230 or BSCI330. Formerly ZOOL417. </i> Approaches to human genetics and applications to biology and medicine: genetic basis of human disease, the human genome project, human genetic diversity and evolutionary genetics. (Sponsoring Dept.: BIOL).| |Biology of the Human Genome| REG/P-F/AUD 3  
BSCI417 |<i> Prerequisite: BSCI222 and BSCI223. Junior standing. Credit will be granted for only one of the following: BSCI348M or BSCI417. Formerly BSCI348M. </i> Current research in microbial pathogenesis and the molecular and cellular basis of bacterial disease. Comprehensive overview of the molecular basis of pathogenesis with a focus on model microbial systems to illustrate mechanisms of disease pathogenesis. Topics covered: how microorganisms attach to and enter cells; how host cells are damaged by microbial products; how the host responds to invasion; and host-pathogen evolution.| |Microbial Pathogenesis| REG/P-F/AUD 3  |CORE Capstone (CS) Course.|
BSCI420 |<i> Prerequisites: BSCI230 or BSCI330; and BSCI222; and CHEM233. Credit will be granted for only one of the following: BSCI420 or BSCI421. Formerly ZOOL410. </i> Molecular and biochemical bases of cellular organization and function in eukaryotes. (Sponsoring Dept.: CBMG). Acceptable toward Biological Sciences Specialization Areas: PHNB, CEBG, and GENB.| |Cell Biology Lectures| REG/P-F/AUD 3  
BSCI421 |<i> Prerequisites: BSCI230 or BSCI330; and BSCI222; and CHEM233. Formerly: PBIO400 and ZOOL411. Credit will be granted for only one of the following: BSCI420 or BSCI421. </i> Molecular and biochemical basis of cellular organization and function in eukaryotes. (Sponsoring Dept.: CBMG). Acceptable toward Biological Sciences Specialization Areas: PHNB, CEBG, and GENB. Formerly PBIO 400 and ZOOL 411. Students must pay a $40.00 lab materials fee.| |Cell Biology| REG/P-F/AUD 4  
BSCI422 |<i> Prerequisites: BSCI222 and BSCI223. Recommended: BSCI230 or BSCI330. Junior or Senior standing. Formerly MICB454. </i> The immune system in health and disease. Presentation and analysis of the cellular and molecular processes that comprise the immune system. (Sponsoring Dept.: CMBG). Acceptable toward Biological Sciences Specialization Areas: PHNB, MICB, CEBG, and GENB. Also offered as CBMG699W.| |Principles of Immunology| REG 3  
BSCI423 |<i> Prerequisites: BSCI222 and BSCI223. Corequisite: BSCI422. Junior or senior standing. Formerly MICB455. </i> Current techniques for assessment of immune status and evaluation of the immune response, including monoclonal antibody production, Western blotting, cytokine assays, ELISA and flow cytometry. (Sponsoring Dept.: CBMG). Acceptable toward Biological Sciences Specialization Areas:PHNB, MICB, CEBG and GENB. Students must pay a $40.00 lab materials fee.| |Immunology Laboratory| REG 2  
BSCI425 |<i> Prerequisite: BSCI223. Formerly MICB420. </i> History, characteristic features of epidemiology; the important responsibilities of public health; vital statistics.| |Epidemiology and Public Health| REG/P-F/AUD 3  
BSCI430 |<i> Prerequisites: BSCI230 or BSCI330; and BSCI222. Formerly ZOOL430. </i> Structural, functional and regulatory events and mechanisms that operate during development to produce an integrated, multicellular organism composed of a multitude of differentiated cell types. (Sponsoring Dept.: BIOL). Acceptable toward Biological Sciences Specialization Areas: PHNB, CEBG, ECEV, and GENB.| |Developmental Biology| REG/P-F/AUD 3  
BSCI433 |<i> Prerequisites: BSCI230 or BSCI330; and BSCI222; or permission of department. Formerly ZOOL416. </i> Causes and consequences of neoplastic transformations at the biochemical and cellular levels. (Sponsoring Dept.: BIOL). Acceptable towards Biological Sciences Specialization Areas: PHNB, CEBG, and GENB.| |Biology of Cancer| REG/P-F/AUD 3  
BSCI437 |<i> Prerequisite: BSCI222 or permission of department. Junior standing. Formerly MICB460. </i> Discussion of the physical and chemical nature of viruses, virus cultivation and assay methods, virus replication, viral diseases with emphasis on the oncogenic viruses, viral genetics, and characteristics of the major virus groups. (Sponsoring Dept.: CBMG). Specialization Areas: MICB, CEBG, and GENB.| |General Virology| REG/P-F/AUD 3  
BSCI440 |<i> Prerequisites: BSCI230 or BSCI330; and CHEM233; or permission of department. Formerly ZOOL422. </i> A study of the cardiovascular, hemopoietic, gastrointestinal, renal and respiratory systems. Chemical and endocrine regulation of physiological functions in mammals. Course does not count as an upper level lab for BIOL majors (see BSCI441). (Sponsoring Dept.: BIOL). Acceptable toward Biological Sciences Specialization Areas: PHNB, and GENB.| |Mammalian Physiology| REG/P-F/AUD 4  
BSCI441 |<i> Corequisite: BSCI440. Formerly ZOOL423. </i> Laboratory exercises in experimental mammalian physiology. (Sponsoring Dept.: BIOL). Acceptable toward Biological Sciences Program Specialization Areas: PHNB and GENB). Students must pay a $40.00 lab materials fee.| |Mammalian Physiology Laboratory| REG/P-F/AUD 2  
BSCI446 |<i> Prerequisite: BSCI230 or BSCI330. Formerly ZOOL402. </i> Neural development, followed by sensory, motor and integrative system organization in the central nervous system.| |Neural Systems| REG/P-F/AUD 3  
BSCI447 |<i> Prerequisites: BSCI230 or BSCI330; and CHEM233; and CHEM243. Formerly ZOOL426. </i> Functions and the functioning of the endocrine glands of animals with special reference to the vertebrates. (Sponsoring Dept.: ENTM). Acceptable toward Biological Sciences Specialization Areas: PHNB and GENB.| |General Endocrinology| REG/P-F/AUD 3  
BSCI453 |<i> Prerequisite: A grade of C (2.0) or better in {BSCI230 or BSCI330} and {CHEM231 and CHEM232} and PHYS122. Credit will be granted for only one of the following: BSCI444 or BSCI445 or BSCI453. Formerly BSCI444. </i> The cellular and molecular basis of nervous system function. (Sponsoring Dept.: BIOL). Acceptable toward Biological Sciences Specialization Areas: CEBG, PHNB and GENB.| |Cellular Neurophysiology| REG/P-F/AUD 3  
BSCI462 |<i> Prerequisites: BSCI106 and MATH130. Formerly ZOOL470. </i> Theory of population growth and regulation, life tables, and theory of competition and predation, evolution in ecological settings, community structure and dynamics.| |Population Ecology| REG/P-F/AUD 3  
BSCI473 |<i> Prerequisite: BSCI224. Formerly ZOOL473. </i> Courses in evolution and animal behavior are strongly recommended. A detailed analysis of the evolutionary ecology of marine invertebrates; emphasis on testing of theories and on current literature.| |Marine Ecology| REG/P-F/AUD 3  
BSOS182 |<i> Prerequisite: BSOS181, and BSOS191. Corequisite: SOCY105. Open only to Civicus students. </i> Students will examine domestic societal issues and their national, regional, and local dimensions from political, economic, and policy perspectives. Students will work with local direct service non-profit organizations.| |Civicus and Service-Learning| REG 1 (PermReq) 
BSOS302 |<i> Prerequisite: BSOS301. Sophomore standing. </i> Capstone course required for CIVICUS citation. Supervised internship, community service, or research project on civil society topic. Application and continued study of skills and concepts, grounded in the social sciences, relevant to understanding and effectively dealing with contemporary social issues. Open only to Civicus students.| |Civicus Capstone| REG 3 (PermReq) 
BSOS309  |Civicus Seminar| REG 1 (PermReq) 
BSOS331 |<i> Restricted to students enrolled in the Terrorism Studies Minor Program. </i> Examines the impact of terrorism on groups and individuals. Also, explores how communities have prepared and ideally should prepare in the face of potential threats. Material is drawn from other disciplines such as; anthropology, criminology, economics, history, political science, social psychology, and sociology.| |Response to Terrorism| REG/P-F/AUD 3 (PermReq) 
BSOS386 |<i> Prerequisite: permission of department. Junior standing. </i>| |Experiential Learning| REG/P-F 3-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
BSOS388  |Behavioral and Social Sciences Special Topics| REG/P-F 1-3  |Individual Instruction course: contact department or instructor to obtain section number.|
BSOS608  |LEAD Professional Seminar| REG/AUD 1 (PermReq) 
BSOS611 |<i> Prerequisite: Approved member of LEAD Cohort. </i> This course examines classical views of moral and ethical reasoning in the context of one's serving as a Company Officer at the Naval Academy. The intent is to expose students to a wide range of scholarly opinions regarding moral and ethical thought. Students will then apply principles, ideas, and fundamental conceptions to their future role as Company Officers in the Brigade of Midshipmen. Contemporary articles promoting moral integrity, reasoning, and the development of ethical leadership are emphasized. The course relies heavily on case studies. Students will assess situations, diagnose issues, design and apply interventions, and assess intervention results.| |Moral Reasoning and the Company Officer| REG/AUD 3  
BSOS613 |<i> Restricted to approved member of LEAD cohort. Prerequisite: BSOS601 and BSOS602. </i> This seminar is the last in a series of the Leadership Education and Development (LEAD) Program. Students will use a case study methodology to discuss and role-play real-life problems they will encounter as company officers. The seminar, combining the concepts and knowledge they have gained through the coursework, will help them to think analytically, applying the theory and practice of individual, team, and organizational development to enhance individual and team performance.| |LEAD Seminar 3: Leadership and the Company Officer| REG 3  
BSOS630 |<i> Registration limited to certificate program students. </i> Examines and tests contending theories regarding why specific individuals and groups employ terrorist tactics in certain conditions.| |Motivations and Intents of Terrorists and Terrorist Groups| REG/AUD 3  
BUAC743 |<i> Prerequisite: BUSI610. For Majors only or permission of department. </i> Provides students with the tools to conduct a financial statement analysis, which is part of an overall business analysis. This involves understanding and using the information that financial statements are communicating to users.| |Financial Statement Analysis| REG 2  
BUAC759  |Independent Study in Accounting and Information Assurance| REG 1-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
BUDT750 |<i> Prerequisite: BUSI690. </i> A study of managerial decision-making in strategic (or interactive) situations characterized by both conflict and cooperation. Introduces basic tools of game theory including simultaneous and sequential-move games, equilibrium analysis, repeated interactions, information assymetry, and principal-agent models. Applications of game theory to managerial decisions such as pricing, promotions, entry/exit decisions, deterrence, design of incentive contracts, supply chain relationships, auctions. Non-majors should review their registration eligibility in the statement preceding the BUDT courses.| |Game Theory for Managerial Decisions| REG 3  
BUDT759  |Independent Study in Decision and Information Technologies| REG 1-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
BUFN753 |<i> Prerequisite: BUSI640. For majors only. </i> Deals with corporate governance and its impact on shareholder value. Divergence of interests between corporate insiders and providers of funds leads to agency problems which can impair corporate performance and shareholder value. Various instruments of corporate governance - internal as well as external mechanisms - that can help align managerial incentives with those of outside investors, and hence help restore shareholder value will be studied.| |Corporate Governance and Performance| REG 2  
BUFN754 |<i> Prerequisite: BUSI640. For majors only. </i> Surveys the theory and practice of financial risk identification, measurement, and mitigation at financial and non-financial firms. Topics will include hedging with options and futures, interest rate risk management, Value-at-Risk (VaR), Cashflow-at-Risk (CaR), Earnings-at-Risk (EaR), credit risk, equity risk, commodities risk, exchange rate risk, and lessons from risk management disasters.| |Corporate Risk Management| REG 2  
BUFN759  |Independent Study in Finance| REG 1-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
BUFN760 |<i> Prerequisite: BUSI640. For Majors Only. Credit will be granted for only one of the following: BUFN702 or BUFN760. Formerly BUFN702. </i> Students will learn to analyze equity securities using the basic EIC (Economy/Industry/Company) framework used in the financial industry, paying special attention to financial statement analysis. Students also will learn the primary valuation techniques used to estimate market values for equity securities.| |Applied Equity Analysis| REG 2  
BUFN761 |<i> Prerequisite: BUSI640. For Majors Only. Credit will be granted for only one of the following: BUFN726 or BUFN761. Formerly BUFN726. </i> Standard types of derivatives contracts are presented, and illustrated as to how they are used in practice. The theory of pricing these contracts is then presented in detail. The use of static and dynamic replication strategies, and the concept of no-arbitrage strategies is illustrated in numerous ways. Standard valuation techniques are covered, and standard formulas are presented. The theory is then applied to develop specific pricing and hedging strategies for various types of derivatives on different underlying assets. The management of the exposure of various risks is covered in detail as well.| |Derivative Securities| REG 2  
BUFN762 |<i> Prerequisite: BUSI640. For Majors Only. Credit will be granted for only one of the following: BUFN731 or BUFN762. Formerly BUFN731. </i> Describes important financial instruments which have market values that are sensitive to interest rate movements. Develops tools to analyze interest rate sensitivity and value fixed income securities. Defines and explains the vocabulary of the bond management business.| |Fixed Income Analysis| REG 2  
BUFN763 |<i> Prerequisite: BUSI640. For Majors Only. Credit will be granted for only one of the following: BUFN700 or BUFN763. Formerly BUFN700. </i> Provides training that is important in understanding the investment process - the buy side of the financial world. Specifically, the objective is to provide graduate-level instruction in the following topics, both in theory and in using financial markets data to test the basic theory and practice of portfolio choice and equilibrium pricing models and their implications for efficient portfolios.| |Portfolio Management| REG 2  
BUFN765 |<i> Prerequisite: BUSI640. Recommended: BUFN761. For Majors Only. Credit will be granted for only one of the following: BUFN731 or BUFN765. Formerly BUFN731. </i> Surveys fixed income assets and related securities such as Exchange-traded bond options; bonds with embedded options; floating rate notes; caps, collars, and floors; floating rate notes with embedded options. Also surveys advanced tools for interest-rate and fixed-income portfolio management, including the use of derivative securities, and the application of binomial trees for analysis of options, and a sound understanding of stochastic yield curves.| |Fixed Income Derivatives| REG 2  
